clientnum,attrition_flag,dependent_count,card_category,months_on_book,months_inactive_12_mon,contacts_count_12_mon,credit_limit,avg_open_to_buy,avg_utilization_ratio
806160108,Existing Customer,1,Blue,56,2,3,3193,676,0.788
804424383,Existing Customer,1,Blue,56,3,2,10215,9205,0.099
708300483,Attrited Customer,0,Blue,56,4,3,7882,7277,0.077
808284783,Existing Customer,1,Blue,56,0,0,1438.3,1438.3,0
712720158,Existing Customer,1,Blue,56,2,3,13860,12208,0.119
717296808,Existing Customer,1,Blue,56,3,2,3006,489,0.837
809164083,Existing Customer,1,Blue,56,1,2,2619,840,0.679
787348608,Existing Customer,0,Blue,56,2,3,3252,1757,0.46
778286433,Existing Customer,0,Blue,56,2,1,5876,4579,0.221
822969858,Existing Customer,0,Blue,56,1,3,5585,4120,0.262
810449883,Existing Customer,0,Blue,56,1,0,2215,300,0.865
717916758,Existing Customer,0,Blue,56,3,3,10509,8121,0.227
718715583,Existing Customer,2,Blue,56,2,4,2318,1308,0.436
794977533,Attrited Customer,0,Blue,56,3,2,8077,8077,0
789467508,Existing Customer,0,Blue,56,3,0,2961,1391,0.53
812019933,Existing Customer,1,Blue,56,3,2,2468,447,0.819
812420358,Attrited Customer,0,Blue,56,3,3,2122,1568,0.261
802002858,Attrited Customer,1,Blue,56,1,2,8990,8990,0
713650683,Existing Customer,0,Blue,56,1,4,3094,828,0.732
737925558,Existing Customer,0,Blue,56,2,2,4234,2341,0.447
811721133,Existing Customer,1,Blue,56,3,3,2359,1117,0.526
798110358,Existing Customer,1,Blue,56,2,4,1438.3,1438.3,0
713757633,Existing Customer,0,Blue,56,2,4,7427,6124,0.175
807244983,Existing Customer,0,Blue,56,1,2,1438.3,758.3,0.473
821872758,Existing Customer,0,Silver,56,2,4,12609,10092,0.2
714547458,Existing Customer,0,Blue,56,3,2,2297,2297,0
710523333,Existing Customer,0,Blue,56,3,2,2541,925,0.636
822130683,Existing Customer,0,Blue,56,2,4,8420,7031,0.165
720770883,Existing Customer,0,Blue,56,3,3,1438.3,1438.3,0
713536158,Existing Customer,1,Blue,56,3,2,4189,4189,0
771234558,Existing Customer,0,Blue,56,3,2,7478,7478,0
802464033,Existing Customer,0,Blue,56,3,3,4460,3198,0.283
712004208,Existing Customer,0,Blue,56,3,2,3422,3422,0
816013383,Attrited Customer,0,Blue,56,6,3,6184,6184,0
708295533,Existing Customer,0,Blue,56,3,2,3549,1669,0.53
780689733,Existing Customer,0,Blue,56,2,2,11332,10699,0.056
795052083,Existing Customer,0,Blue,56,6,4,1438.3,1438.3,0
718181433,Existing Customer,0,Blue,56,1,2,8705,7252,0.167
714460683,Existing Customer,0,Blue,56,3,5,3838,2102,0.452
813200058,Existing Customer,0,Blue,56,2,5,6500,4714,0.275
719729433,Existing Customer,1,Blue,56,2,0,7023,5297,0.246
714321408,Existing Customer,1,Blue,56,2,2,2246,920,0.59
808909008,Existing Customer,0,Blue,56,3,4,1438.3,1438.3,0
716823408,Existing Customer,0,Blue,56,2,2,28410,26802,0.057
795810633,Existing Customer,0,Blue,56,3,2,10144,8849,0.128
713366583,Existing Customer,1,Blue,56,1,3,3055,1370,0.552
718476033,Existing Customer,0,Blue,56,3,5,20130,17775,0.117
718589133,Existing Customer,1,Blue,56,2,2,4613,2994,0.351
710687508,Existing Customer,0,Blue,56,3,1,2621,763,0.709
822138333,Existing Customer,0,Blue,56,3,5,7118,6305,0.114
709468683,Existing Customer,0,Blue,56,2,2,2174,777,0.643
770721858,Existing Customer,1,Blue,56,2,5,3539,1022,0.711
711659958,Existing Customer,0,Blue,56,2,1,2692,823,0.694
767114958,Existing Customer,0,Blue,56,2,2,3226,1153,0.643
708563433,Attrited Customer,0,Blue,56,6,3,5894,5417,0.081
806179683,Existing Customer,1,Blue,56,3,2,3071,1027,0.666
737952333,Existing Customer,1,Blue,56,1,5,2586,2586,0
766006758,Existing Customer,1,Blue,56,2,4,7216,4895,0.322
819189108,Existing Customer,0,Blue,56,2,2,9033,9033,0
817889583,Attrited Customer,0,Blue,56,3,4,9721,9721,0
817977933,Attrited Customer,0,Blue,56,6,3,1931,400,0.793
712084383,Existing Customer,1,Blue,56,2,2,7936,5855,0.262
719357058,Existing Customer,2,Blue,56,3,2,6797,5369,0.21
822955008,Attrited Customer,1,Blue,56,3,2,9569,9569,0
813380058,Existing Customer,0,Blue,56,2,4,4100,3237,0.21
816261858,Attrited Customer,0,Blue,56,5,4,3984,1739,0.564
774760458,Attrited Customer,1,Blue,56,5,1,3807,1290,0.661
708788583,Attrited Customer,1,Blue,56,1,2,6167,6167,0
708887433,Existing Customer,0,Blue,56,1,3,2717,2717,0
804847308,Existing Customer,0,Blue,56,2,1,1564,1564,0
715548183,Existing Customer,1,Blue,56,3,3,23566,21896,0.071
778247358,Existing Customer,1,Blue,56,3,2,7636,7636,0
811527933,Attrited Customer,0,Silver,56,4,3,10885,9127,0.162
822961533,Existing Customer,0,Blue,56,2,3,13666,13666,0
814219008,Existing Customer,1,Blue,56,2,2,1456,589,0.595
823590483,Existing Customer,0,Blue,56,1,1,2230,514,0.77
713168733,Existing Customer,0,Blue,56,3,3,2802,399,0.858
814845933,Existing Customer,0,Blue,56,3,3,1438.3,1438.3,0
820633833,Existing Customer,1,Blue,56,2,4,5152,4204,0.184
818259558,Existing Customer,0,Blue,56,2,3,2294,712,0.69
816528333,Existing Customer,0,Blue,56,6,1,2609,1494,0.427
789563658,Existing Customer,0,Silver,56,4,4,12155,12155,0
806995683,Existing Customer,0,Blue,56,1,3,4783,2266,0.526
790000608,Existing Customer,1,Blue,56,1,1,6723,5755,0.144
713246208,Existing Customer,1,Blue,56,2,4,13364,12046,0.099
783500283,Existing Customer,0,Blue,56,3,2,29100,27872,0.042
709310433,Existing Customer,0,Blue,56,2,2,5441,4629,0.149
768475383,Existing Customer,0,Blue,56,1,2,4467,4467,0
805546308,Existing Customer,0,Blue,56,3,2,5951,3434,0.423
808675083,Existing Customer,1,Blue,56,3,2,4235,2560,0.396
716924958,Attrited Customer,2,Blue,56,0,3,6812,4886,0.283
716019333,Existing Customer,0,Blue,56,3,3,2279,490,0.785
709597983,Existing Customer,0,Blue,56,1,3,1573,920,0.415
719050458,Existing Customer,0,Blue,56,3,3,2582,1054,0.592
826808208,Existing Customer,0,Blue,56,5,2,2213,1384,0.375
813449508,Attrited Customer,0,Blue,56,2,3,9918,9068,0.086
803115258,Attrited Customer,0,Blue,56,6,2,3477,3477,0
709250508,Existing Customer,1,Blue,56,1,2,6973,4456,0.361
714418158,Existing Customer,0,Blue,56,2,2,7264,6413,0.117
816832383,Existing Customer,1,Blue,56,2,2,3421,1155,0.662
809169858,Existing Customer,2,Blue,56,3,2,18224,16841,0.076
819109308,Existing Customer,0,Blue,56,3,3,6103,3586,0.412
798553158,Attrited Customer,1,Blue,56,2,1,3109,3109,0
812627208,Existing Customer,0,Blue,55,1,3,1438.3,700.3,0.513
716284308,Existing Customer,2,Blue,55,2,2,6099,3924,0.357
755953308,Existing Customer,0,Blue,55,1,4,2644,437,0.835
711840408,Existing Customer,0,Blue,55,3,4,2492,1068,0.571
713307708,Existing Customer,0,Blue,55,3,2,2895,378,0.869
713216883,Existing Customer,0,Blue,55,3,4,3500,1596,0.544
