clientnum,customer_age,gender,education_level,marital_status,income_category
708082083,45,F,High School,Married,Less than $40K
708083283,58,M,Unknown,Single,$40K - $60K
708084558,46,M,Doctorate,Divorced,$80K - $120K
708085458,34,F,Uneducated,Single,Less than $40K
708086958,49,F,Uneducated,Married,Unknown
708095133,43,M,Unknown,Unknown,$120K +
708098133,32,F,Graduate,Married,Less than $40K
708099183,37,F,High School,Single,Less than $40K
708100533,55,F,College,Single,Less than $40K
708103608,52,M,High School,Single,$60K - $80K
708104658,46,M,Graduate,Unknown,$40K - $60K
708108333,47,F,Graduate,Married,Unknown
708112008,56,M,Graduate,Married,$80K - $120K
708113208,53,F,High School,Married,Less than $40K
708117933,44,F,Graduate,Divorced,Less than $40K
708119658,49,F,Graduate,Married,$40K - $60K
708121908,48,M,Unknown,Married,$80K - $120K
708123033,41,F,Graduate,Single,Less than $40K
708125733,46,F,College,Divorced,Less than $40K
708128733,50,F,Post-Graduate,Single,Unknown
708129933,45,F,Graduate,Single,Less than $40K
708132783,47,F,Uneducated,Single,Unknown
708134283,35,M,Uneducated,Married,Less than $40K
708136908,62,F,Graduate,Single,Less than $40K
708139833,40,M,Graduate,Unknown,$60K - $80K
708145908,61,F,Graduate,Married,$40K - $60K
708147108,26,M,Graduate,Divorced,Unknown
708148158,39,F,Unknown,Married,Unknown
708151008,49,F,Graduate,Married,$40K - $60K
708152358,54,M,Post-Graduate,Unknown,$80K - $120K
708153558,46,M,Doctorate,Divorced,$120K +
708154833,39,F,Graduate,Single,Less than $40K
708155733,53,M,High School,Single,$120K +
708158133,45,M,College,Married,$80K - $120K
708160008,44,M,Uneducated,Married,$120K +
708161133,45,M,Graduate,Single,$40K - $60K
708162558,64,F,Uneducated,Married,Unknown
708163758,41,M,Unknown,Married,$120K +
708170508,38,M,Graduate,Married,$60K - $80K
708171858,33,F,Post-Graduate,Married,$40K - $60K
708173433,26,F,Unknown,Single,$40K - $60K
708174708,38,M,Graduate,Married,$40K - $60K
708176208,48,F,Graduate,Married,$40K - $60K
708177333,51,F,High School,Married,Less than $40K
708178608,31,F,Graduate,Married,Unknown
708185208,27,M,Graduate,Single,$40K - $60K
708186933,33,M,Graduate,Single,$60K - $80K
708190158,38,F,High School,Single,Less than $40K
708193008,41,M,Uneducated,Single,$80K - $120K
708195633,40,M,High School,Unknown,$80K - $120K
708197358,57,M,Uneducated,Unknown,$80K - $120K
708204033,36,F,Unknown,Single,Less than $40K
708205083,38,F,High School,Married,Less than $40K
708207783,50,F,High School,Single,Less than $40K
708208758,53,M,Graduate,Single,$80K - $120K
708211383,35,F,Graduate,Single,Less than $40K
708212658,38,F,Graduate,Married,Less than $40K
708216108,56,F,College,Married,$40K - $60K
708217758,63,M,Graduate,Married,$60K - $80K
708219108,49,M,College,Divorced,$80K - $120K
708219858,39,M,Graduate,Single,$40K - $60K
708222558,37,F,Post-Graduate,Married,Less than $40K
708223383,47,F,High School,Married,Unknown
708224133,61,M,Uneducated,Single,$40K - $60K
708225483,47,M,Graduate,Married,$80K - $120K
708226833,53,M,High School,Married,$120K +
708229308,49,F,Unknown,Married,Less than $40K
708231183,30,M,Uneducated,Divorced,Unknown
708234558,55,F,College,Divorced,Less than $40K
708238833,57,F,High School,Married,Less than $40K
708241233,52,F,Post-Graduate,Single,Less than $40K
708242283,29,M,College,Single,$60K - $80K
708243483,53,M,College,Married,$120K +
708244458,47,F,Unknown,Married,Less than $40K
708245808,35,M,Graduate,Married,$60K - $80K
708248358,42,M,Graduate,Unknown,$60K - $80K
708249708,48,F,Doctorate,Married,Less than $40K
708252108,64,M,College,Single,$40K - $60K
708253458,59,F,Unknown,Single,Unknown
708254733,41,F,Post-Graduate,Single,Less than $40K
708255633,36,M,Graduate,Single,$80K - $120K
708260208,43,F,Uneducated,Single,Less than $40K
708266883,34,F,Graduate,Single,Less than $40K
708267858,65,F,High School,Married,$40K - $60K
708269583,42,F,Uneducated,Divorced,Less than $40K
708271833,42,M,Graduate,Single,$40K - $60K
708272808,45,M,Graduate,Single,Less than $40K
708273858,40,M,Graduate,Divorced,$120K +
708276183,52,F,Post-Graduate,Married,Less than $40K
708281433,57,F,Graduate,Married,Less than $40K
708285108,42,M,Graduate,Single,$40K - $60K
708286683,57,M,Uneducated,Single,$80K - $120K
708288108,43,M,Post-Graduate,Unknown,$80K - $120K
708290208,43,F,High School,Married,Less than $40K
708291633,33,F,Doctorate,Unknown,Unknown
708292833,35,M,High School,Single,$120K +
708295533,65,F,Post-Graduate,Married,Less than $40K
708296883,44,F,Graduate,Single,$40K - $60K
708298233,49,F,Graduate,Married,Less than $40K
708300483,66,F,Doctorate,Married,Unknown
708301683,40,M,Uneducated,Married,$80K - $120K
708303108,50,F,Graduate,Married,Less than $40K
708307533,42,M,Uneducated,Married,$60K - $80K
708313608,53,M,Unknown,Married,$80K - $120K
708314808,53,F,College,Married,Unknown
708316008,59,F,Graduate,Single,Unknown
708319908,37,M,Graduate,Single,$80K - $120K
708323208,49,F,Uneducated,Married,Less than $40K
708324483,47,F,Unknown,Single,Less than $40K
708330858,57,M,Graduate,Married,$120K +
708331758,47,F,Uneducated,Divorced,Unknown
708332808,47,M,Uneducated,Married,$40K - $60K
708334158,46,F,Graduate,Divorced,Less than $40K
708337683,51,M,Uneducated,Single,$60K - $80K
708338958,58,F,Graduate,Single,Less than $40K
708340758,41,M,High School,Married,Less than $40K
708341958,31,F,College,Divorced,Less than $40K
708344358,53,F,High School,Married,Unknown
708347583,37,F,Uneducated,Married,Less than $40K
708354858,51,M,Unknown,Single,$120K +
708355683,46,F,Graduate,Married,Unknown
708357183,47,F,Unknown,Single,Less than $40K
708358683,46,M,Graduate,Married,$80K - $120K
708360108,50,M,College,Single,$40K - $60K
708361833,44,M,Graduate,Married,$80K - $120K
708367908,56,F,Uneducated,Married,Less than $40K
708369633,34,F,Graduate,Married,Less than $40K
708371733,41,F,High School,Married,Less than $40K
708373083,40,F,Unknown,Married,$40K - $60K
708375858,47,F,High School,Divorced,Less than $40K
708376983,58,F,Unknown,Single,Unknown
708378108,39,F,Post-Graduate,Married,$40K - $60K
708382083,49,M,High School,Married,$80K - $120K
708384033,45,F,Uneducated,Married,Less than $40K
708385533,49,F,Graduate,Married,Less than $40K
708386958,47,F,Unknown,Married,Less than $40K
708387933,49,F,Post-Graduate,Married,Less than $40K
708390633,52,F,Graduate,Married,Less than $40K
708393633,41,F,High School,Married,Less than $40K
708394908,44,M,High School,Single,$40K - $60K
708396033,45,F,Uneducated,Married,Less than $40K
708397008,54,F,Graduate,Married,Unknown
708398283,37,F,Graduate,Married,$40K - $60K
708399858,45,F,High School,Married,Less than $40K
708402333,48,F,Doctorate,Divorced,Unknown
708403308,37,M,Unknown,Single,$40K - $60K
708404883,45,F,High School,Single,Unknown
708406083,35,F,Unknown,Married,Less than $40K
708412758,33,F,Graduate,Single,Less than $40K
708414033,50,M,Graduate,Married,$40K - $60K
708416433,41,F,High School,Single,Less than $40K
708419733,47,M,College,Single,$60K - $80K
708421833,45,F,Graduate,Single,Less than $40K
708423933,51,M,Doctorate,Single,$40K - $60K
708426483,56,F,Graduate,Single,Less than $40K
708427908,52,F,College,Unknown,Less than $40K
708428958,39,M,Unknown,Single,$80K - $120K
708431433,41,M,Graduate,Married,$120K +
708433683,54,M,Graduate,Married,$80K - $120K
708434733,56,M,Graduate,Married,$60K - $80K
708438033,36,F,Unknown,Married,Less than $40K
708442158,51,F,College,Married,Unknown
708445608,48,M,College,Married,Less than $40K
708446808,33,M,Post-Graduate,Married,$80K - $120K
708447858,59,F,Uneducated,Married,Less than $40K
708450033,43,F,High School,Unknown,Less than $40K
708451233,46,F,Graduate,Unknown,Less than $40K
708453408,40,M,College,Divorced,$80K - $120K
708455883,57,M,Graduate,Single,$80K - $120K
708459633,38,M,High School,Married,$60K - $80K
708462258,51,F,High School,Married,Less than $40K
708469533,42,F,Unknown,Married,Unknown
708472008,44,F,Uneducated,Married,Less than $40K
708473133,55,F,Graduate,Married,Less than $40K
708474333,42,M,Graduate,Married,$60K - $80K
708476808,54,M,Unknown,Divorced,$120K +
708478233,48,F,Graduate,Married,$40K - $60K
708480333,65,M,Unknown,Single,$40K - $60K
708482658,41,M,Graduate,Married,$80K - $120K
708483708,51,M,Unknown,Married,$120K +
708486033,55,F,Post-Graduate,Married,Unknown
708488208,57,F,Uneducated,Married,Less than $40K
708489258,40,F,Graduate,Married,Less than $40K
708491508,51,M,Unknown,Single,$60K - $80K
708492558,42,M,Unknown,Married,$60K - $80K
708494583,49,F,Uneducated,Divorced,Less than $40K
708496833,60,M,High School,Single,Less than $40K
708498033,44,F,Unknown,Married,Less than $40K
708499608,49,M,Post-Graduate,Single,$40K - $60K
708500883,48,M,Uneducated,Single,$40K - $60K
708501783,43,M,High School,Married,$120K +
708502908,61,M,High School,Single,$60K - $80K
708504783,47,M,Uneducated,Unknown,$40K - $60K
708506508,54,M,High School,Married,$120K +
708507483,43,F,College,Divorced,Less than $40K
708508758,62,F,Graduate,Married,Less than $40K
708510858,60,F,Uneducated,Single,Less than $40K
708511983,37,M,Graduate,Married,$80K - $120K
708513183,39,M,Uneducated,Married,$40K - $60K
708514383,38,F,College,Married,Unknown
708515358,40,F,High School,Married,Less than $40K
708516558,37,F,High School,Married,Less than $40K
708519108,46,F,Graduate,Married,Unknown
708522033,50,M,College,Married,$60K - $80K
708525108,54,F,Graduate,Married,Unknown
708528483,43,F,Graduate,Divorced,Unknown
708532308,37,M,Uneducated,Single,$60K - $80K
708534033,45,F,Graduate,Single,$40K - $60K
708535158,39,M,Post-Graduate,Unknown,$80K - $120K
708536283,35,M,Doctorate,Single,$80K - $120K
708538608,50,F,College,Married,Unknown
708539583,44,F,Unknown,Married,Unknown
708542283,58,F,Doctorate,Married,Less than $40K
708543258,36,M,High School,Married,$80K - $120K
708545058,45,F,Graduate,Single,$40K - $60K
708549033,50,F,High School,Married,Less than $40K
708551508,51,F,College,Single,Less than $40K
708553008,38,F,High School,Single,$40K - $60K
708555633,32,F,High School,Single,Less than $40K
708557358,43,M,College,Married,$60K - $80K
708558408,50,M,High School,Single,$40K - $60K
708559533,40,M,Uneducated,Married,$80K - $120K
708560733,42,F,Graduate,Divorced,Less than $40K
708563433,65,F,High School,Single,Unknown
708564858,33,M,College,Married,$120K +
708568983,40,M,High School,Married,$60K - $80K
708572658,49,M,Graduate,Married,$60K - $80K
708573933,45,F,Unknown,Single,Less than $40K
708575058,46,F,Uneducated,Divorced,$40K - $60K
708577308,43,F,Unknown,Divorced,Less than $40K
708579633,40,M,Unknown,Divorced,$40K - $60K
708580908,56,M,High School,Married,$60K - $80K
708582858,38,M,Graduate,Single,$60K - $80K
708584208,36,F,Graduate,Unknown,Less than $40K
708585933,44,F,High School,Single,Less than $40K
708588408,53,M,Uneducated,Single,$60K - $80K
708590658,65,F,Unknown,Married,Unknown
708593883,39,M,College,Married,$60K - $80K
708595158,27,F,Graduate,Single,Less than $40K
708596283,35,F,Uneducated,Single,Less than $40K
708597558,42,M,High School,Single,$60K - $80K
708600033,46,M,Graduate,Married,$40K - $60K
708602283,40,F,Uneducated,Married,Unknown
708606633,56,F,Graduate,Married,$40K - $60K
708611733,42,F,College,Married,Unknown
708614058,56,F,Graduate,Divorced,Less than $40K
708615183,44,M,Unknown,Married,$60K - $80K
708618933,34,M,Uneducated,Single,$120K +
708620283,35,M,Unknown,Single,$60K - $80K
708621408,39,F,Unknown,Single,Less than $40K
708623283,35,M,Uneducated,Single,$60K - $80K
708626058,49,F,Uneducated,Married,Less than $40K
708633783,43,M,Uneducated,Single,$80K - $120K
708635058,53,F,High School,Single,Less than $40K
708637758,49,F,Graduate,Single,Unknown
708642708,40,F,Uneducated,Married,Unknown
708644208,39,F,Graduate,Single,$40K - $60K
708646233,44,F,Unknown,Divorced,Unknown
708649683,51,M,High School,Single,$60K - $80K
708651933,56,M,Graduate,Married,$60K - $80K
708652908,47,F,Uneducated,Married,Less than $40K
708653958,38,M,College,Married,$60K - $80K
708654933,51,F,Doctorate,Married,Less than $40K
708655983,49,F,High School,Divorced,Unknown
708657033,60,F,College,Single,Less than $40K
708660408,40,F,College,Married,$40K - $60K
708662583,41,M,Unknown,Married,$60K - $80K
708664008,57,M,College,Married,$80K - $120K
708665133,40,M,Graduate,Married,$80K - $120K
708666258,43,M,Unknown,Married,$40K - $60K
708668283,39,M,Graduate,Married,$80K - $120K
708669408,54,M,College,Single,$60K - $80K
708670608,48,F,Uneducated,Married,Unknown
708671733,48,M,Graduate,Married,$60K - $80K
708672708,49,M,High School,Unknown,$80K - $120K
708679383,44,F,Unknown,Unknown,Less than $40K
708680583,53,F,Graduate,Married,$40K - $60K
708681708,51,F,Unknown,Single,Less than $40K
708682908,43,F,Unknown,Single,Unknown
708684108,46,F,Graduate,Married,$40K - $60K
708687483,54,F,Graduate,Single,Less than $40K
