clientnum,total_relationship_count,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_ct_chng_q4_q1,total_trans_ct
828343083,3,1793,0.803,3646,0.659,68
828298908,4,2035,0.613,1770,0.741,47
828294933,3,2437,0.765,2519,0.565,36
828291858,6,1821,0.63,2381,0.481,40
828288333,4,659,0.938,3756,0.842,70
828285858,3,765,0.644,4053,0.692,66
828281733,3,848,0.762,1408,1.091,23
828236133,4,1387,0.72,4269,0.614,92
828227433,6,778,1.009,4957,1.049,84
828215508,4,0,0.639,1785,0.32,33
827984658,3,0,0.604,1885,0.345,39
827970933,4,1698,0.575,4439,0.628,70
827968383,5,2284,0.673,4084,0.628,70
827964858,3,859,0.74,2151,0.438,46
827953683,1,1171,0.697,5369,0.596,75
827948133,4,1423,0.775,4535,0.417,68
827904183,2,1377,0.861,8104,0.627,83
827901183,2,980,0.786,14593,0.627,109
827898033,4,0,0.621,2465,1.077,54
827890758,5,1302,0.631,3785,0.75,63
827888433,5,2242,0.79,2089,0.579,60
827712108,5,1373,0.73,4432,0.756,72
827703258,2,0,0.717,4674,0.886,66
827695683,4,1329,0.574,3906,0.51,77
827691858,3,1251,0.581,2006,0.405,52
827683383,3,2517,0.779,16027,0.723,112
827643858,6,0,0.833,3212,0.422,64
827635083,4,755,0.62,4222,0.744,75
827631483,3,1710,0.613,2053,0.528,55
827628408,3,1465,0.622,3672,0.73,64
827619933,3,0,0.655,3541,0.851,87
827476983,3,2178,0.451,1865,0.5,42
827451333,3,0,0.641,2615,0.423,37
827442858,2,2051,0.999,3719,0.643,69
827440458,2,1449,0.559,7527,0.657,58
827436483,6,0,0.792,4336,0.714,72
827423433,5,1399,0.533,3668,0.675,67
827408058,6,2002,1.107,3803,0.511,68
827360883,4,1335,0.814,1593,0.484,46
827341383,5,1317,0.957,3607,0.884,81
827332983,3,2113,0.618,1362,1.214,31
827318958,5,1785,0.603,14261,0.65,99
827123883,5,0,0.67,4472,0.614,92
827117808,2,2513,0,1152,0,28
827114058,6,0,0.52,4447,0.574,74
827111283,2,578,1.042,1109,0.474,28
827108583,3,1266,0.846,1161,0.368,26
827100333,3,726,0.657,5208,0.755,93
827074758,4,868,0.828,5228,0.694,61
827062158,6,1696,0.466,4192,0.571,66
827055333,5,1042,0.702,2015,0.682,37
827051808,5,1083,0.716,2478,0.667,45
827049558,3,1170,0.73,4421,0.679,89
826808208,3,829,0.639,4210,0.714,84
826783233,1,2214,0.7,4750,0.978,89
826780683,6,0,0.784,3943,0.771,85
826775058,4,2517,0.551,1520,0.44,36
826762908,3,1273,1.024,2089,1.118,36
826723308,5,2088,0.768,1008,0.4,21
826717533,6,724,0.949,4631,0.767,76
826709658,1,0,0.768,2214,0.654,43
826706208,6,0,0.803,4042,0.722,62
826548708,2,622,0.728,4637,0.655,91
826513233,6,2396,0.569,2069,0.742,54
826490133,6,1600,0.7,4685,0.9,76
826480308,5,1869,0.743,5489,0.805,74
826478958,4,1601,0.742,1578,0.414,41
826477083,5,2439,0.693,1520,0.7,34
826473858,6,1680,0.78,4820,0.765,60
826471458,2,1767,0.54,1919,0.52,38
826467333,4,585,0.925,4082,0.682,74
826451433,2,2273,0.86,8502,0.717,103
826421958,5,0,0.637,1843,0.63,44
826417233,3,1011,0.814,5089,0.868,71
826414083,4,1017,0.458,4225,0.681,79
826410708,3,1407,0.709,5554,0.6,64
826401858,3,1655,0.742,2448,0.5,63
826266483,6,598,0.843,4586,0.929,81
826261008,3,0,0.736,2054,0.586,46
826245858,3,0,0.801,7661,1.079,79
826168083,3,1307,0.769,4750,0.756,72
826150608,1,1378,0.73,8199,0.75,98
826148883,4,1660,0.629,14762,0.742,108
826136283,3,1981,0.712,4352,0.784,66
826130133,6,1812,0.483,1121,0.562,25
826079508,4,1886,0.945,3654,0.757,65
826077033,1,0,0.803,2423,0.857,39
826069983,4,1633,0.98,4515,1.172,63
826068183,4,1463,1.28,2916,0.724,50
826065258,2,1555,1.001,16033,0.812,116
826061508,1,2045,0.847,13090,0.672,102
825856083,5,2121,0.722,4078,0.795,70
825850383,4,0,0.697,4303,0.674,77
825838908,1,0,0.631,4846,0.84,92
825831933,4,1103,0.812,4528,0.884,81
825811158,5,2517,0.73,4512,0.766,83
825785508,3,1049,0.534,4890,0.561,64
825767658,2,913,0.698,7711,0.86,80
825756333,4,1885,0.587,2118,0.778,48
825753258,4,1525,0.874,4495,1.025,81
825743583,1,1971,0.671,13796,0.833,121
825368658,5,1664,0.612,4795,0.708,82
824915208,2,1008,0.727,5169,0.745,82
824816358,2,0,0.84,14252,0.649,127
824812983,5,1397,0.517,4166,0.755,86
824807658,6,2477,0.515,1239,0.737,33
824805858,5,1479,0.843,1537,0.581,49
824799108,2,1874,0.608,7498,0.5,90
824795358,3,1038,0.718,4150,0.591,70
824789283,3,1533,0.821,2373,0.659,73
824782008,5,510,0.344,1228,0.529,26
824770683,6,1151,0.533,4027,0.52,76
824763783,2,1127,0.623,4251,0.767,76
824761458,4,1936,0.929,2489,1,62
824667708,6,1027,0.824,3007,0.867,84
824560758,1,0,0.676,2475,0.694,61
824192658,4,0,0.694,4148,0.756,79
824177733,1,1710,0.745,7682,0.579,90
824172258,3,1510,0.73,4495,0.833,77
824168808,4,1480,0.76,2271,0.364,60
824165658,4,2266,0.92,1388,0.929,27
824163333,3,2424,0.617,4307,0.784,66
824160333,6,1453,0.848,15399,0.841,116
824157858,4,1022,0.682,1524,0.615,42
824155458,5,1647,0.542,4674,0.714,72
824150733,3,1987,0.673,16177,0.848,122
824140908,5,0,0,1246,0,27
823948308,6,1942,0.777,1727,0.85,37
823928058,3,578,0.931,4509,0.717,79
823922208,1,1101,0.711,7404,0.515,103
823912308,5,1813,0.653,1767,0.647,28
823908858,4,622,0.794,4816,0.976,81
823904133,2,0,0.629,2489,0.385,54
823878408,6,757,0.764,4824,0.81,76
823863033,6,1473,0.642,4254,0.587,73
823848183,1,1494,0.731,8438,0.84,92
823845783,6,1984,0.573,1318,0.194,37
823840458,4,1517,0.661,4542,0.577,82
823837158,1,1230,0.591,15367,0.685,123
823833483,3,1544,0.715,7904,0.804,83
823648983,1,1459,0.72,7960,0.697,112
823635033,6,1535,1.323,4200,0.804,83
823629333,1,0,0.788,4220,1.174,50
823624158,3,0,0.761,4579,0.814,78
823621083,3,938,0.735,3948,0.721,74
823615983,2,2517,0.379,1642,0.25,35
823609383,4,0,0.68,4528,1.128,83
823606983,4,2517,1.924,2398,1.176,37
823590483,3,1716,0.811,4027,0.5,75
823578483,2,1169,0.558,4429,0.529,78
823566408,2,0,0.773,4625,0.938,93
823557333,5,2517,0.7,4457,0.955,86
823554783,2,0,0.797,5022,0.771,85
823548858,5,330,0.823,2585,0.714,48
823539558,2,1627,0.66,8360,0.843,94
823535133,6,1262,0.718,1402,0.889,34
823528833,4,1235,1.485,1337,1.071,29
823519458,1,2151,0.64,7123,0.492,94
823507833,4,945,0.557,4510,0.646,79
823149483,1,0,0.769,4643,0.617,76
822984108,4,2279,0.611,2330,0.643,69
822969858,4,1465,1.503,1787,0.722,31
822964683,6,1491,0.869,4351,0.632,62
822961533,5,0,0.808,3998,1,70
822959133,4,2084,0.636,4508,1.075,83
822955008,3,0,0.94,2287,0.581,49
822952158,4,0,0.566,4256,0.622,73
822948708,5,849,0.992,3108,0.59,62
822905058,6,1746,1.028,4702,0.771,85
822902508,3,1219,0.644,4015,0.75,77
822898758,3,973,0.908,3239,0.65,66
822893133,6,0,0.94,1608,1.2,33
822885033,2,1493,0.651,14731,0.765,120
822170733,6,2517,0.574,2401,0.742,54
822138333,4,813,0.475,3964,0.65,66
822132858,1,0,0.564,2205,0.654,43
822130683,4,1389,0.522,1114,0.545,34
822127008,2,615,0.708,4351,0.717,79
822125283,2,1351,0.785,7590,0.682,74
822121608,3,693,0.759,4759,0.841,81
822112383,5,0,0.618,3769,0.659,73
822084333,2,0,0.67,8219,0.909,84
822068583,4,0,0.712,3946,1.286,48
822063408,5,2517,0.632,1221,2.2,16
822061683,5,1977,0.558,4106,0.809,85
822056583,6,874,0.947,4996,0.739,80
822051858,3,0,0.734,4535,0.907,82
821889858,6,1477,0.662,2493,0.571,44
821872758,4,2517,0.833,2121,0.531,49
821837958,3,1662,0.693,1226,0.923,25
821836008,5,2099,0.629,1233,0.857,26
821815458,5,1519,0.557,3398,0.763,67
821813058,4,1172,0.614,4862,0.878,77
821797008,2,0,0.734,815,0.615,21
821771508,5,2055,0.663,1939,0.636,36
821768658,4,2247,1.003,2474,0.417,51
821759658,3,204,0.685,2014,0.8,54
821755233,5,1123,0.539,3441,0.468,69
821752908,2,2252,0.714,15078,0.746,117
821749608,3,0,0.58,1937,0.594,51
821724483,2,1744,0.347,1455,0.214,34
821710308,5,2018,0.648,1739,0.667,35
821521983,4,1641,0.947,4321,0.712,89
821424483,4,0,0.826,4242,0.458,70
821370858,5,1884,0.791,1734,0.625,39
821356083,3,0,0.664,4830,0.642,87
821351958,6,0,0.785,3308,1,54
821339433,5,2118,1.036,4442,0.829,64
821336133,5,996,0.527,3927,0.935,60
821296083,3,1010,0.659,2003,0.679,47
821241708,1,0,1.031,8670,0.574,74
821179233,1,932,0.466,1554,0.344,43
821168733,6,2301,0.68,1783,0.65,33
821163408,5,1588,0.878,3411,0.875,60
821157183,5,1398,0.635,4698,0.833,88
821150958,3,665,0.605,3452,0.692,66
821149008,6,0,0.539,1661,0.6,40
820981383,5,1796,0.958,1739,0.448,42
820936533,1,1950,0.98,9331,0.5,93
820925433,2,710,0.657,4751,0.884,81
820922733,2,0,0.674,14160,0.771,124
820920408,3,0,0.762,4012,0.639,59
820906233,5,2165,0.707,3242,0.75,63
820868508,3,736,0.687,5192,0.562,75
820848408,5,771,0.652,5053,0.947,74
820694133,4,0,0.703,2412,0.52,38
820666083,5,2517,0.835,8646,0.977,85
820657083,5,800,0.804,3819,0.6,72
820651908,5,0,0.717,3162,0.73,64
820648608,3,1879,0.888,4153,0.795,79
820639908,1,2517,0.702,4378,0.884,81
820637433,5,0,0.467,4041,0.571,66
820633833,5,948,0.953,4074,1.057,72
820622433,4,1698,0.767,2006,0.568,58
820599333,6,604,0.771,4469,0.932,85
820596183,2,2395,1.071,2311,0.714,48
820593033,3,1736,0.762,4496,0.882,64
820587258,2,0,0.905,8637,0.808,94
820584408,3,1507,1.05,1392,1.375,38
820582308,6,1528,0.414,1394,0.522,35
820394733,2,1464,0.689,7690,0.673,87
820383558,6,1344,0.492,3258,0.758,58
820355433,6,0,0.589,1395,0.259,34
820353558,4,1434,0.644,1503,0.478,34
820346133,5,1334,0.375,4154,0.818,60
820330008,1,1540,0.862,8231,0.556,98
820288233,4,0,0.764,2731,0.5,39
820282383,6,2517,0.561,2000,0.28,32
820276908,3,0,0.547,2232,0.464,41
820271208,2,1234,0.955,13791,0.585,103
820268358,4,1462,0.734,4534,1.027,75
820108008,2,1361,1.048,14743,0.729,121
820085808,1,1343,0.637,4692,0.72,86
820075983,4,1535,0.462,2299,0.485,49
820060758,4,1965,0.8,3651,0.553,59
820047858,1,1868,0.722,2096,0.471,50
